ID,NODE_MINUTES,NODES,EXECUTIONSTART,SHOTS,RESENTSHOTS,RESTART,SCNAME,NTHREADS,NCPU,ATTR01,ATTR02,ATTR03,ATTR04,ATTR05,ATTR06,ATTR07,ATTR08,ATTR09,ATTR10,ATTR11,ATTR12,ATTR13,ATTR14,ATTR15,ATTR16,ATTR17,ATTR18,ATTR19,ATTR20,ATTR21,ATTR22,ATTR23,ATTR24,ATTR25,ATTR26,ATTR27,ATTR28,ATTR29,ATTR20,ATTR31,ATTR32,ATTR33,ATTR34,ATTR35,ATTR36,ATTR37,ATTR38,ATTR39,ATTR30,ATTR31,ATTR32
376848316,513,16,7/26/2018 9:27,128,0,F,center_9,1,2,?,?,?,?,tamboth,0,?,0,0,1986,0,0,0,0,0,0,256,256,0,254,27.8,0,0,0,34,0,0,0,0,0,0,0,5539227,68996502126,501,6,3001,0,0,0,0,0
376848212,530,16,7/26/2018 9:27,128,0,F,center_9,1,2,?,?,?,?,tamboth,0,?,0,0,1986,0,0,0,0,0,0,256,256,0,254,27.806,0,0,0,34,0,0,0,0,0,0,0,5560152,69257421389,501,6,3001,0,0,0,0,0
376637751,9587,16,7/26/2018 9:28,427,0,F,center_3,1,4,?,?,?,?,tamboth,19,?,0,0,2573,0,0,0,0,0,0,384,384,0,248,65.767,0,0,0,40,0,0,0,0,0,0,0,2451860,9699109896,55,16,876,0,0,0,0,0
375480746,1157,8,7/26/2018 9:28,134,0,F,center_9,1,2,?,?,?,?,?,0,?,0,0,4314,0,0,0,0,0,0,160,160,0,594,65.903,0,0,0,110,0,0,0,0,0,0,0,1074856,4966055936,133,8,1063,0,0,0,0,0
376906738,498,16,7/26/2018 9:29,264,0,F,center_11,1,2,?,?,?,?,tamnone,18,?,0,0,2100,0,0,0,0,0,0,192,160,0,255,20.058,0,0,0,65,0,0,0,0,0,0,0,2468570,22009559908,251,8,2001,0,0,0,0,0
376034717,1062,8,7/26/2018 9:30,70,0,F,center_9,1,2,?,?,?,?,?,0,?,0,0,1595,0,0,0,0,0,0,224,224,0,258,30.25,0,0,0,62,0,0,0,0,0,0,0,295706,1308891283,22,24,513,0,0,0,0,0
376034719,963,8,7/26/2018 9:31,78,0,F,center_9,1,2,?,?,?,?,?,0,?,0,0,1595,0,0,0,0,0,0,224,224,0,258,30.101,0,0,0,62,0,0,0,0,0,0,0,325967,1443109011,22,24,513,0,0,0,0,0
376906740,642,16,7/26/2018 9:32,285,0,F,center_11,1,2,?,?,?,?,tamnone,18,?,0,0,2100,0,0,0,0,0,0,192,160,0,255,20.054,0,0,0,65,0,0,0,0,0,0,0,2676228,23861764554,251,8,2001,0,0,0,0,0
376034725,1876,8,7/26/2018 9:33,212,0,F,center_9,1,2,?,?,?,?,?,0,?,0,0,1595,0,0,0,0,0,0,224,224,0,258,30.329,0,0,0,62,0,0,0,0,0,0,0,482997,2138893713,22,24,513,0,0,0,0,0
376906744,616,16,7/26/2018 9:36,262,0,F,center_11,1,2,?,?,?,?,tamnone,18,?,0,0,2100,0,0,0,0,0,0,192,160,0,255,20.078,0,0,0,65,0,0,0,0,0,0,0,2485463,22159883763,251,8,2001,0,0,0,0,0
376906742,509,16,7/26/2018 9:37,269,0,F,center_11,1,2,?,?,?,?,tamnone,18,?,0,0,2100,0,0,0,0,0,0,192,160,0,255,20.067,0,0,0,65,0,0,0,0,0,0,0,2452095,21862457278,251,8,2001,0,0,0,0,0
375480747,1980,8,7/26/2018 9:37,118,0,F,center_2,1,4,?,?,?,?,?,0,?,0,0,4314,0,0,0,0,0,0,160,160,0,594,64.909,0,0,0,110,0,0,0,0,0,0,0,950361,4390530318,133,8,1063,0,0,0,0,0
375557641,8618,8,7/26/2018 9:40,16,0,F,center_2,1,4,?,?,?,?,tamnone,42,?,0,0,4777,0,0,0,0,0,0,416,352,0,554,347.284,0,0,0,86,0,0,0,0,0,0,0,6309903,76500883734,471,6,2821,0,0,0,0,0
